id,name,address,contact,Email Address, district,type,,
1,Aaraike super speciality hospital blood storage center,"1683/1,near statdium,hadadi road,Davanagere, Dist. Davanagere",9844822102,prashanthbsc21@gmail.com,Private,Camps,,
2,Adichunchanagiri Hospital And Research Centre,"Balagangadharanatha Nagar,Nagamangala Taluk,  Bellur,  Mandya, Bellur, Dist. Mandya",9740194575,bloodbank@bgsaims.edu.in,Private,Camps,,
3,A.J.Hsopital AND Research Centre,"NH-66, 3 Road Cross Road, Kuntikana, Mangalore, Dist. Dakshina Kannada",9448127559,mailbox@ajhospital.in,Private,Camps,,
4,Akshaya Voluntary Blood Centre,"968, 41 Cross, 3rd Block, opp to ESI Hospital, Near Kapilsagar Hotel, Rajajinagar, Bangalore , Bangalore, Dist. Bangalore Urban",9880612994,akshaybb02@gmail.com,Private,Camps,,
5,Aland (BSU),Dist. Kalaburagi,0,ahc@alvas.org,Govt.,Camps,,
6,Alvas Rotary Blood Bank,"M/s. Alvas Rotary Blood Bank (A Unity of Alvas Health Care) Alvas Health Centre, D.No.5-169J, 1st Floor, Near Swaraj Maidan, Moodbidri, Dakshina Kannada, Moodbidri, Dist. Dakshina Kannada",8971445204,amulyatrust1999@gmail.com,Private,Camps,,
7,AMULYA BLOOD CENTRE Amulya Trust,"R N Arcade, No.13. 2 nd Floor, 60 feet Road, 2 nd Stage, KHB Colony, Basaveshwar Nagar, Bangalore, Dist. Bangalore Urban",8884881610,Anjanadribloodbank1991@gmail.com,Charitable/Vol,Camps,,
8,Anjanadri Blood Centre,"Anjanadri Blood Centre Arihanth complex First Floor Bamboo Bazar Gangavathi, Gangavathi, Dist. Koppal",9480086212,dddiwase@gmail.com,Private,Camps,,
9,Ankur Blood centre nipani,"Rani Channamma circle Ashok Nagar nipani , Nipani, Dist. Belagavi",9527010756,drmallikarjun123@gmail.com,Private,Camps,,
10,APEX HOSPITAL BLOOD BANK,"Apex hospital, 8-11-58/1 new housing colony, , Bidar, Dist. Bidar",9036360396,jagstarl@gmail.com,Private,Camps,,
11,Apollo Hospitals A Unit Of Imperial Cancer Hospital AND Research Centre Limited,"154/11, Opp.I.I.M Bannerghatta Road, Bangalore, Dist. Bangalore Urban",9845926164,drsusmitha_cs@apollohospitals.com,Private,Camps,,
12,APOLLO SPECIALITY HOSPITAL BLOOD STORAGE CENTRE BSU,"M/s.Apollo Speciality Hospitals,  New No 2, Old No. 21/2, 14th cross,  Jayanagar 3rd Block,  Bengaluru, Dist. Bangalore Urban",9880243485,bloodcenter.whitefield@asterhospital.com,Private,Camps,,
13,Arasikere (BSU),Dist. Hassan,0,bagalkotbloodbankbagalkot@gmail.com,Govt.,Camps,,
14,Aster Hospital Whitefield Blood Centre,"Aster hospital whitefield blood centre, plot no 2,3, &4 2nd floor sadarmangala industrial area, off ITPL main road, whitefield bengaluru, karnataka, India, Bengaluru, Dist. Bangalore Urban",8951386527,banashankaribloodbank1@gmail.com,Private,Camps,,
15,Athani (BSU),"Belagavi, , Dist. Belagavi",0,gayatri_bloodbank@yahoo.co.in,Govt.,Camps,,
16,Bagalkot Blood Centre Bagalkot,"Ilkal Road, Near Dental College, Bagalkot, Bagalkot, Dist. Bagalkot",835422042,bapujibbbh@gmail.com,Private,Camps,,
17,Bailahongala (BSU),"Belagavi, , Dist. Belagavi",0,basavarajendra.bc@gmail.com,Govt.,Camps,,
18,Banashankari Blood Center,"131A/3,1st floor Dr C K Patil Building Mahaveer Road Baglkot , Bagalkote , Dist. Bagalkot",7557221222,girishbloodbank@gmail.com,Private,Camps,,
19,Bangalore Blood Centre And Diagnostic Laboratory,"R.S Plaza btween 6th,7th cross,apposite R.R gold palace Sampige road   Malleshwaram,    Bengaluru, Bangalore, Dist. Bangalore Urban",9886747992,bloodbank_mys@apollohospitals.com,Private,Camps,,
20,Bapuji Hospital Blood Centre,"Behind  C.G. Hospital ,Bapuji Hospital -OPD Block, M C C B BLOCK, Davangere, Dist. Davanagere",6305250354,bgsgimsbloodcentre@gmail.com,Private,Camps,,
21,BASAVARAJENDRA BLOOD CENTER,"728, NANJANGUD MAIN ROAD, MARIYALA, CHAMARAJANAGAR, CHAMARAJANAGAR, Dist. Chamarajanagar",9901485390,bjr.bldemedicalcollege.bb@gmail.com,Private,Camps,,
22,Bassappa Memorial Hospital,"22/B, Vinoba Road, Jayalakshmipura, Mysore, Dist. Mysore",9243502114,amobangarpet@gmail.com,Private,Camps,,
23,"BBMP-JJR, Magadi Road (BSU)","Bangalore, , Bangalore, Dist. Bangalore Urban",0,kadurbsu@gmail.com,Govt.,Camps,,
